# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
MMRF_2143_1_BM	-0.298000	1.100000
MMRF_2144_1_BM	-1.080000	0.675000
MMRF_2149_1_BM	-0.923000	2.230000
MMRF_2150_1_BM	-0.229000	1.994000
MMRF_2151_1_BM	-1.144000	1.030000
MMRF_2152_1_BM	-1.185000	1.650000
MMRF_2153_1_BM	-0.100000	0.221000
MMRF_2159_1_BM	-0.844000	0.100000
MMRF_2167_1_BM	-1.060000	2.053000
MMRF_2168_1_BM	-0.100000	1.063000
MMRF_2170_1_BM	-1.124000	1.310000
MMRF_2172_1_BM	-1.085000	1.042000
MMRF_2173_1_BM	-0.311000	1.363000
MMRF_2174_1_BM	-1.057000	1.039000
MMRF_2176_1_BM	-1.098000	0.210000
MMRF_2180_1_BM	-0.999000	1.774000
MMRF_2181_1_BM	-1.068000	1.640000
MMRF_2183_1_BM	-0.100000	1.424000
MMRF_2185_1_BM	-0.100000	0.100000
MMRF_2186_1_BM	-0.225000	0.100000
MMRF_2187_1_BM	-0.100000	1.946000
MMRF_2190_1_BM	-0.413000	1.057000
MMRF_2191_1_BM	-1.076000	1.925000
MMRF_2194_1_BM	-0.948000	0.879000
MMRF_2195_1_BM	-0.982000	0.978000
MMRF_2197_1_BM	-0.812000	2.168000
MMRF_2198_1_BM	-1.077000	1.901000
MMRF_2199_1_BM	-0.100000	1.172000
MMRF_2200_1_BM	-0.913000	0.863000
MMRF_2201_1_BM	-0.100000	0.790000
MMRF_2203_1_BM	-1.124000	0.873000
MMRF_2204_1_BM	-0.855000	1.014000
MMRF_2207_1_BM	-0.100000	0.970000
MMRF_2209_1_BM	-0.971000	2.114000
MMRF_2211_1_BM	-1.202000	1.031000
MMRF_2213_1_BM	-1.164000	1.677000
MMRF_2214_1_BM	-1.094000	2.103000
MMRF_2215_1_BM	-0.213000	3.641000
MMRF_2216_1_BM	-0.201000	1.850000
MMRF_2217_1_BM	-1.096000	1.939000
MMRF_2220_1_BM	-1.113000	0.100000
MMRF_2222_1_BM	-0.223000	1.817000
MMRF_2223_1_BM	-1.049000	1.044000
MMRF_2224_1_BM	-0.819000	0.902000
MMRF_2225_1_BM	-0.497000	0.322000
MMRF_2226_1_BM	-1.067000	1.953000
MMRF_2228_1_BM	-0.100000	1.583000
MMRF_2229_1_BM	-0.852000	0.852000
MMRF_2230_1_BM	-0.542000	0.100000
MMRF_2231_1_BM	-1.016000	2.829000
MMRF_2232_1_BM	-1.061000	1.009000
MMRF_2236_1_BM	-0.260000	1.890000
MMRF_2237_1_BM	-0.201000	1.951000
MMRF_2238_1_BM	-1.096000	1.127000
MMRF_2240_1_BM	-0.251000	1.095000
MMRF_2244_1_BM	-1.118000	0.833000
MMRF_2245_1_BM	-0.883000	0.991000
MMRF_2246_1_BM	-0.937000	1.953000
MMRF_2250_1_BM	-1.101000	0.473000
MMRF_2251_1_BM	-1.019000	1.435000
MMRF_2253_1_BM	-1.102000	2.129000
MMRF_2257_1_BM	-0.463000	0.780000
MMRF_2258_1_BM	-0.232000	1.683000
MMRF_2265_1_BM	-0.980000	1.206000
