# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
X20160503_MG_MM_Cyto562_.CytoScanHD_Array.	-1.192000	1.392000
X20160503_MG_MM_Cyto563_.CytoScanHD_Array.	-1.243000	1.255000
X20161109_MG_MM_Cyto681_.CytoScanHD_Array.	-1.093000	2.214000
X20160503_MG_MM_Cyto564_.CytoScanHD_Array.	-0.100000	0.704000
X20160503_MG_MM_Cyto565_.CytoScanHD_Array.	-1.600000	0.957000
X20161109_MG_MM_Cyto682_.CytoScanHD_Array.	-1.600000	3.808000
X20161109_MG_MM_Cyto683_.CytoScanHD_Array.	-1.279000	1.451000
X20161109_MG_MM_Cyto685_.CytoScanHD_Array.	-1.141000	2.268000
X20161109_MG_MM_Cyto687_.CytoScanHD_Array.	-1.126000	2.182000
X20170102_MG_MM_Cyto717_.CytoScanHD_Array.	-0.218000	3.300000
X20161109_MG_MM_Cyto688_.CytoScanHD_Array.	-1.100000	1.156000
X20161109_MG_MM_Cyto689_.CytoScanHD_Array.	-1.577000	1.456000
X20161109_MG_MM_Cyto690_.CytoScanHD_Array.	-0.215000	3.070000
X20161109_MG_MM_Cyto691_.CytoScanHD_Array.	-1.232000	0.973000
X20160727_MG_MM_Cyto608_.CytoScanHD_Array.	-1.303000	2.670000
X20170102_MG_MM_Cyto718_.CytoScanHD_Array.	-0.635000	1.461000
X20161109_MG_MM_Cyto692_.CytoScanHD_Array.	-0.100000	1.322000
X20161110_MG_MM_Cyto703_.CytoScanHD_Array.	-1.160000	1.194000
X20161110_MG_MM_Cyto704_.CytoScanHD_Array.	-1.184000	2.211000
X20161110_MG_MM_Cyto702_.CytoScanHD_Array.	-0.100000	0.304000
X20161109_MG_MM_Cyto684_.CytoScanHD_Array.	-1.188000	1.265000
X20161109_MG_MM_Cyto686_.CytoScanHD_Array.	-0.100000	0.225000
X20170102_MG_MM_Cyto720_.CytoScanHD_Array.	-1.182000	2.599000
X20170103_MG_MM_Cyto707_.CytoScanHD_Array.	-0.100000	0.221000
X20170103_MG_MM_Cyto708_.CytoScanHD_Array.	-1.181000	1.225000
X20170103_MG_MM_Cyto709_.CytoScanHD_Array.	-0.100000	1.453000
X20160727_MG_MM_Cyto598b_.CytoScanHD_Array.	-1.600000	1.383000
X20170103_MG_MM_Cyto712_.CytoScanHD_Array.	-1.254000	1.391000
X20170103_MG_MM_Cyto713_.CytoScanHD_Array.	-0.100000	1.818000
X20170103_MG_MM_Cyto714_.CytoScanHD_Array.	-1.272000	2.968000
X20170103_MG_MM_Cyto715_.CytoScanHD_Array.	-0.100000	0.100000
X20170103_MG_MM_Cyto716_.CytoScanHD_Array.	-1.168000	2.439000
X20170102_MG_MM_Cyto721_.CytoScanHD_Array.	-1.293000	2.987000
X20170102_MG_MM_Cyto722_.CytoScanHD_Array.	-0.100000	1.152000
X20170102_MG_MM_Cyto723_.CytoScanHD_Array.	-1.325000	0.275000
X20170102_MG_MM_Cyto724_.CytoScanHD_Array.	-1.327000	1.816000
X20170102_MG_MM_Cyto726_.CytoScanHD_Array.	-0.100000	1.924000
MM_cytoscanHD_08282017_819_.CytoScanHD_Array.	-0.100000	4.256000
MM_cytoscanHD_08282017_820_.CytoScanHD_Array.	-1.113000	1.306000
MM_cytoscanHD_08282017_821_.CytoScanHD_Array.	-1.286000	0.778000
MM_cytoscanHD_08302017_824_.CytoScanHD_Array.	-1.343000	1.153000
MM_cytoscanHD_08302017_825_.CytoScanHD_Array.	-1.253000	2.815000
MM_cytoscanHD_08302017_826_.CytoScanHD_Array.	-0.100000	0.100000
MM_cytoscanHD_08302017_827_.CytoScanHD_Array.	-1.278000	1.474000
MM_cytoscanHD_08302017_828_.CytoScanHD_Array.	-1.600000	1.310000
MM_cytoscanHD_08302017_829_.CytoScanHD_Array.	-1.212000	0.684000
MM_cytoscanHD_09132017_840_.CytoScanHD_Array.	-1.600000	3.620000
MM_cytoscanHD_09132017_841_.CytoScanHD_Array.	-1.245000	1.267000
MM_cytoscanHD_09132017_842_.CytoScanHD_Array.	-0.100000	2.311000
MM_cytoscanHD_10192017_864_.CytoScanHD_Array.	-1.269000	0.100000
MM_cytoscanHD_10262017_870_.CytoScanHD_Array.	-1.296000	2.459000
MM_cytoscanHD_10262017_871_.CytoScanHD_Array.	-0.100000	0.100000
MM_cytoscanHD_10262017_872_.CytoScanHD_Array.	-1.285000	0.518000
MM__CytoscanHD_31052018_1016_.CytoScanHD_Array.	-1.231000	2.513000
MM__CytoscanHD_31052018_1017_.CytoScanHD_Array.	-1.273000	1.262000
MM__CytoscanHD_11062018_1022_.CytoScanHD_Array.	-1.234000	2.460000
MM_cytoscanHD_10192017_859_.CytoScanHD_Array.	-1.231000	1.246000
X20160704_MG_MM_Cyto582_.CytoScanHD_Array.	-1.227000	0.232000
MM__CytoscanHD_10052018_1000_.CytoScanHD_Array.	-1.234000	1.188000
MM__CytoscanHD_11062018_1023_.CytoScanHD_Array.	-0.100000	1.724000
MM__CytoscanHD_11062018_1024_.CytoScanHD_Array.	-0.100000	0.100000
MM__CytoscanHD_11062018_1025_.CytoScanHD_Array.	-1.166000	0.100000
X20170719_MG_MM_Cyto_D3MM_.CytoScanHD_Array.	-1.195000	2.643000
MM__CytoscanHD_21062018_1027_.CytoScanHD_Array.	-1.271000	1.323000
MM_cytoscanHD_10192017_860_.CytoScanHD_Array.	-0.100000	1.583000
MM__CytoscanHD_21062018_1028_.CytoScanHD_Array.	-0.277000	4.126000
X20170726_MG_MM_Cyto808_.CytoScanHD_Array.	-1.246000	0.620000
MM__CytoscanHD_21062018_1029_.CytoScanHD_Array.	-1.600000	0.974000
MM__CytoscanHD_21062018_1030_.CytoScanHD_Array.	-1.246000	0.100000
MM__CytoscanHD_21062018_1031_.CytoScanHD_Array.	-1.019000	0.420000
MM__CytoscanHD_21062018_1032_.CytoScanHD_Array.	-1.224000	1.389000
MM__CytoscanHD_31052018_1010_.CytoScanHD_Array.	-0.100000	1.435000
MM__CytoscanHD_03072018_1040_.CytoScanHD_Array.	-0.100000	1.642000
MM__CytoscanHD_03072018_1041_.CytoScanHD_Array.	-0.100000	2.670000
X20160725_MG_MM_Cyto592_.CytoScanHD_Array.	-1.460000	1.858000
MM__CytoscanHD_10052018_1001_.CytoScanHD_Array.	-1.203000	1.000000
MM_cytoscanHD_11162017_886_.CytoScanHD_Array.	-1.165000	2.389000
MM__CytoscanHD_31052018_1013_.CytoScanHD_Array.	-0.100000	2.357000
MM__CytoscanHD_31052018_1014_.CytoScanHD_Array.	-1.471000	0.992000
MM__CytoscanHD_31052018_1015_.CytoScanHD_Array.	-1.130000	1.205000
MM__CytoscanHD_24052018_1007_.CytoScanHD_Array.	-1.308000	0.957000
MM__CytoscanHD_24052018_1008_.CytoScanHD_Array.	-1.039000	0.202000
MM__CytoscanHD_24052018_1009_.CytoScanHD_Array.	-1.156000	0.944000
MM__CytoscanHD_11062018_1018_.CytoScanHD_Array.	-1.199000	2.443000
MM__CytoscanHD_31052018_1011_.CytoScanHD_Array.	-1.140000	1.617000
MM_CytoscanHD_17042018_975_.CytoScanHD_Array.	-1.270000	1.119000
MM_CytoscanHD_17042018_974_.CytoScanHD_Array.	-0.100000	1.106000
MM_CytoscanHD_17042018_973_.CytoScanHD_Array.	-0.751000	0.100000
MM_CytoscanHD_17042018_972_.CytoScanHD_Array.	-0.100000	0.375000
MM_CytoscanHD_17042018_971_.CytoScanHD_Array.	-0.100000	0.100000
X20170605_MG_MM_Cyto762_.CytoScanHD_Array.	-0.240000	2.242000
MM_cytoscanHD_10262017_869_.CytoScanHD_Array.	-1.259000	2.189000
X20161110_MG_MM_Cyto696_.CytoScanHD_Array.	-1.055000	1.502000
X20170704_MG_MM_Cyto788_.CytoScanHD_Array._2	-0.100000	1.174000
MM_cytoscanHD_011518_904_.CytoScanHD_Array.	-1.266000	1.340000
X20170605_MG_MM_Cyto773_.CytoScanHD_Array.	-0.100000	2.341000
MM_cytoscanHD_10022017_855_.CytoScanHD_Array.	-0.100000	0.100000
X20170605_MG_MM_Cyto763_.CytoScanHD_Array.	-1.310000	0.287000
X20170627_MG_MM_Cyto774_.CytoScanHD_Array.	-1.150000	1.238000
X20140527_MART_MM_Cyto418_.CytoScanHD_Array.	-1.264000	2.329000
