"","ascat.output.goodnessOfFit","ascat.output.aberrantcellfraction","ascat.output.ploidy","ascat.output.psi"
"X20170605_MG_MM_Cyto773_.CytoScanHD_Array.",98.2523606462456,0.86,2.30120982128626,2
"MM_cytoscanHD_10022017_855_.CytoScanHD_Array.",97.6581100963748,0.83,2.00029303629771,2.05
"X20170605_MG_MM_Cyto763_.CytoScanHD_Array.",97.0410522942302,0.88,1.81710464007423,2.05
"X20170627_MG_MM_Cyto774_.CytoScanHD_Array.",98.3737945262812,0.74,4.20956627171417,3.85
"X20140527_MART_MM_Cyto418_.CytoScanHD_Array.",97.7547560251908,0.86,2.25477105723118,1.85
"MM_cytoscanHD3042018_964_.CytoScanHD_Array.",97.6522970866268,0.88,1.95640556991719,2
"X20170627_MG_MM_Cyto775_.CytoScanHD_Array.",97.9556406314282,0.52,4.33385245180744,4
"X20170704_MG_MM_Cyto790_.CytoScanHD_Array.",98.7464459366025,0.75,2.0001394130748,2
"X20170704_MG_MM_Cyto784_.CytoScanHD_Array.",93.9294392390233,0.46,3.92151927222534,3.95
"X20170704_MG_MM_Cyto791_.CytoScanHD_Array.",98.8175096941525,0.86,2.24680338877468,1.9
"MM_cytoscanHD_08282017_822_.CytoScanHD_Array.",97.5603517788676,0.84,1.97373350134593,1.9
"X20150708_MG_MM_Cyto487_.CytoScanHD_Array.",98.6812303265465,0.66,2.0001159855333,2
"MM_cytoscanHD_08282017_816_.CytoScanHD_Array.",98.0318647294092,0.34,4.67056985020194,4.05
"X20161004_MG_MM_Cyto648_.CytoScanHD_Array.",95.1459053215499,0.63,3.92975923784447,3.8
"X20170627_MG_MM_Cyto776_.CytoScanHD_Array.",96.065582333512,0.48,1.9846687864111,2
"X20170704_MG_MM_Cyto792_.CytoScanHD_Array.",98.8011566357173,0.9,1.91433354597348,2
"X20170704_MG_MM_Cyto793_.CytoScanHD_Array.",96.9422467370136,0.79,4.34175905503283,3.9
"MM__CytoscanHD_10052018_993_.CytoScanHD_Array.",99.1277565716162,0.81,2.23355338579822,1.85
"MM_cytoscanHD_11092017_876_.CytoScanHD_Array.",97.4875871027406,0.89,1.97432955945084,1.9
"X20170605_MG_MM_Cyto765_.CytoScanHD_Array.",98.5298880871877,0.78,2.30754370676707,2
"MM_CytoscanHD_17042018_966_.CytoScanHD_Array.",95.9773853653233,0.86,2.0034223413485,2.05
"MM_cytoscanHD_19092017_D8_.CytoScanHD_Array.",95.1181810355444,0.7,2.28000098318863,1.85
"X20170704_MG_MM_Cyto787_.CytoScanHD_Array._2",97.8085588163852,0.48,2.06841725449953,1.9
"X20170627_MG_MM_Cyto778_.CytoScanHD_Array.",97.3285400325441,0.69,2.0001789710547,2.05
"X20170605_MG_MM_Cyto767_.CytoScanHD_Array.",98.3553378683788,0.85,2.41878305059619,1.95
"MM_cytoscanHD_11302017_891_.CytoScanHD_Array.",98.9181617448408,0.75,1.92523272958126,2.05
"MM_cytoscanHD_11162017_880_.CytoScanHD_Array.",95.4826464971879,0.85,1.87131558703466,2.1
"X20170717_MG_MM_Cyto794_.CytoScanHD_Array.",94.2353202074113,0.63,1.96872922485946,2
"X20170719_MG_MM_Cyto_D1MM_.CytoScanHD_Array.",95.8223328750393,1,2.50317980868532,2.05
"X20140616_MART_MM_Cyto422_.CytoScanHD_Array.",97.899430347347,0.78,2.44709004970863,1.95
"X20140527_MART_MM_Cyto416_.CytoScanHD_Array.",96.3119120325089,0.77,4.57851663720301,3.9
"MM_cytoscanHD_11302017_887_.CytoScanHD_Array.",95.134852283754,1,2.13725620474596,1.95
"X20161005_MG_MM_Cyto649_.CytoScanHD_Array.",96.0779309260707,0.72,3.86024588164944,3.9
"MM__CytoscanHD_10052018_995_.CytoScanHD_Array.",96.8114204209744,0.39,2.85972394674958,1.8
"X20161110_MG_MM_Cyto693_.CytoScanHD_Array.",99.6032130127548,0.85,2.04181931374202,1.95
"X20170605_MG_MM_Cyto768_.CytoScanHD_Array.",95.3683331665539,0.44,2.8522398073872,1.95
"X20170605_MG_MM_Cyto769_.CytoScanHD_Array.",93.3446626088906,0.78,1.94250151606918,2.05
"X20161005_MG_MM_Cyto654_.CytoScanHD_Array.",98.6476043618817,0.82,1.96547817340452,1.95
"X20161005_MG_MM_Cyto655_.CytoScanHD_Array.",86.6474925995099,0.72,4.4700206200771,3.85
"X20161004_MG_MM_Cyto675_.CytoScanHD_Array.",95.980400423186,0.58,1.96753134777878,1.9
"X20170605_MG_MM_Cyto770_.CytoScanHD_Array.",97.6583024807362,0.41,2.60665349859608,1.95
"MM_CytoscanHD_17042018_968_.CytoScanHD_Array.",98.1743106072513,0.78,2.14050994460731,1.9
"X20170717_MG_MM_Cyto795_.CytoScanHD_Array.",95.7750999911836,0.75,1.90802692861474,1.95
"X20160727_MG_MM_Cyto607_.CytoScanHD_Array.",99.4959372574433,0.38,4.41482994101252,4.1
"MM_cytoscanHD_11092017_879_.CytoScanHD_Array.",97.6251928672033,1,2.0289817891191,2.05
"X20161005_MG_MM_Cyto653_.CytoScanHD_Array.",97.2319218350693,0.53,1.99921882591148,2
"MM_CytoscanHD_26042018_976_.CytoScanHD_Array.",99.0908428297583,0.55,2.32997154513854,1.85
"X20170717_MG_MM_Cyto796_.CytoScanHD_Array.",96.928493809955,0.88,2.18914398451785,1.95
"X20150708_MG_MM_Cyto484_.CytoScanHD_Array.",96.7289493034125,0.85,2.00668529860322,1.95
"MM_CytoscanHD_07052018_985_.CytoScanHD_Array.",92.6965881004502,0.72,3.59848842429812,3.8
"MM__CytoscanHD_24052018_1004_.CytoScanHD_Array.",96.9079270348362,0.72,3.46515882912988,3.75
"X20150708_MG_MM_Cyto488_.CytoScanHD_Array.",98.0580963594309,0.73,1.99944465204916,2
"MM_cytoscanHD_11162017_884_.CytoScanHD_Array.",98.536610517823,0.65,2.02728578873811,2
"X20170717_MG_MM_Cyto797_.CytoScanHD_Array.",99.0221376106073,0.85,2.52854837960145,1.9
"X20170605_MG_MM_Cyto771_.CytoScanHD_Array.",90.1516591550275,0.56,4.42078591336496,3.9
"MM_CytoscanHD_07052018_987_.CytoScanHD_Array.",99.247990540702,0.82,2.19845393588458,1.95
"X20150623_MART_MM_Cyto474_.CytoScanHD_Array.",99.3080853952904,0.84,1.91159905260558,1.95
"X20150708_MG_MM_Cyto495_.CytoScanHD_Array.",99.4227062707744,0.8,2.41675906463428,1.9
"X20140527_MART_MM_Cyto417_.CytoScanHD_Array.",99.3908748082128,0.89,2.34059689535147,1.9
"X20161004_MG_MM_Cyto677_.CytoScanHD_Array.",98.1485404755883,0.8,2.20099332775937,2
"X20170605_MG_MM_Cyto772_.CytoScanHD_Array.",93.8144852735505,0.62,2.01599102533132,2.05
"X20170717_MG_MM_Cyto799_.CytoScanHD_Array.",86.6431457032632,0.71,4.07293531348547,3.6
"X20150708_MG_MM_Cyto485_.CytoScanHD_Array.",95.6112403327862,0.84,2.27376656874466,1.95
"X20140616_MART_MM_Cyto427_.CytoScanHD_Array.",98.7477772302437,0.79,2.30520824972069,2
"X20151105_MART_MM_Cyto525_.CytoScanHD_Array.",94.4953502180967,0.92,2.32412464527438,1.9
"X20151105_MART_MM_Cyto526_.CytoScanHD_Array.",98.6491275304279,0.57,2.32472108743735,1.95
"X20150708_MG_MM_Cyto492_.CytoScanHD_Array.",99.1150581394482,0.78,1.96875687703959,2
"X20151105_MART_MM_Cyto521_.CytoScanHD_Array.",98.575938304467,0.84,1.87974143675351,2
"X20151216_MART_MM_Cyto535_.CytoScanHD_Array.",96.1584919200225,0.57,2.15112838177522,2
"X20151105_MART_MM_Cyto527_.CytoScanHD_Array.",99.1868415070075,0.46,1.96495892691106,2.25
"X20151105_MART_MM_Cyto528_.CytoScanHD_Array.",93.8270827029847,0.59,2.00656355219906,2.05
"X20151105_MART_MM_Cyto523_.CytoScanHD_Array.",97.7551046601274,0.69,1.99389578123746,2.05
"X20160309_MG_MM_Cyto556_.CytoScanHD_Array.",96.7642700040479,0.65,4.5279427200451,4.15
"X20151105_MART_MM_Cyto529_.CytoScanHD_Array.",96.8086439085492,0.76,2.14913819292235,2.05
"X20151105_MART_MM_Cyto518_.CytoScanHD_Array.",98.3219775195212,0.85,2.30939985935794,2.05
"X20160309_MG_MM_Cyto557_.CytoScanHD_Array.",97.2832528209236,0.56,1.99580301354995,2
"X20150708_MG_MM_Cyto493_.CytoScanHD_Array.",99.0528476936739,0.82,2.00578583463305,1.95
"X20151105_MART_MM_Cyto520_.CytoScanHD_Array.",96.3997723103436,0.68,2.23449663238693,1.95
"X20151105_MART_MM_Cyto530_.CytoScanHD_Array.",99.1207718763796,0.84,2.40422456181856,1.95
"X20151105_MART_MM_Cyto522_.CytoScanHD_Array.",99.0667839186429,0.74,3.85316001049247,4.05
"X20170717_MG_MM_Cyto800_.CytoScanHD_Array.",98.9314021076133,0.77,2.02608138267046,2
