sample	segment_count	included
MMRF_2634_1_BM	105	yes
MMRF_2635_1_BM	49	yes
MMRF_2636_1_BM	61	yes
MMRF_2637_1_BM	128	yes
MMRF_2638_1_BM	54	yes
MMRF_2639_1_BM	46	yes
MMRF_2640_1_BM	71	yes
MMRF_2641_1_BM	54	yes
MMRF_2642_1_BM	56	yes
MMRF_2643_1_BM	75	yes
MMRF_2646_1_BM	56	yes
MMRF_2647_1_BM	69	yes
MMRF_2650_1_BM	61	yes
MMRF_2651_1_BM	61	yes
MMRF_2652_1_BM	108	yes
MMRF_2654_1_BM	56	yes
MMRF_2655_1_BM	51	yes
MMRF_2659_1_BM	71	yes
MMRF_2660_1_BM	66	yes
MMRF_2664_1_BM	70	yes
MMRF_2665_1_BM	62	yes
MMRF_2666_1_BM	80	yes
MMRF_2667_1_BM	39	yes
MMRF_2669_1_BM	46	yes
MMRF_2670_1_BM	58	yes
MMRF_2671_1_BM	95	yes
MMRF_2675_1_BM	51	yes
MMRF_2676_1_BM	95	yes
MMRF_2677_1_BM	48	yes
MMRF_2678_1_BM	57	yes
MMRF_2679_1_BM	48	yes
MMRF_2680_1_BM	136	yes
MMRF_2681_1_BM	97	yes
MMRF_2682_1_BM	123	yes
MMRF_2685_1_BM	83	yes
MMRF_2688_1_BM	46	yes
MMRF_2689_1_BM	64	yes
MMRF_2690_1_BM	58	yes
MMRF_2691_1_BM	70	yes
MMRF_2692_1_BM	71	yes
MMRF_2694_1_BM	100	yes
MMRF_2695_1_BM	102	yes
MMRF_2696_1_BM	89	yes
MMRF_2698_1_BM	83	yes
MMRF_2699_1_BM	101	yes
MMRF_2700_1_BM	85	yes
MMRF_2701_1_BM	41	yes
MMRF_2702_1_BM	54	yes
MMRF_2703_1_BM	56	yes
MMRF_2704_1_BM	81	yes
MMRF_2705_1_BM	79	yes
MMRF_2706_1_BM	80	yes
